uri,day,headline_count,has_hero
www.chicagotribune.com,2016-06-24,6,1
www.chicagotribune.com,2016-06-25,3,1
www.chicagotribune.com,2016-06-26,6,1
www.chicagotribune.com,2016-06-27,6,1
www.chicagotribune.com,2016-06-28,6,1
www.chicagotribune.com,2016-06-29,6,1
www.chicagotribune.com,2016-06-30,6,1
www.foxnews.com,2016-06-01,3,1
www.foxnews.com,2016-06-02,3,1
www.foxnews.com,2016-06-03,3,1
www.foxnews.com,2016-06-04,3,1
www.foxnews.com,2016-06-05,3,1
www.foxnews.com,2016-06-06,3,1
www.foxnews.com,2016-06-07,3,1
www.foxnews.com,2016-06-08,3,1
www.foxnews.com,2016-06-09,3,1
www.foxnews.com,2016-06-10,3,1
www.foxnews.com,2016-06-11,3,1
www.foxnews.com,2016-06-12,3,1
www.foxnews.com,2016-06-13,3,1
www.foxnews.com,2016-06-14,3,1
www.foxnews.com,2016-06-15,3,1
www.foxnews.com,2016-06-16,3,1
www.foxnews.com,2016-06-17,3,1
www.foxnews.com,2016-06-18,3,1
www.foxnews.com,2016-06-19,1,1
www.foxnews.com,2016-06-20,1,1
www.foxnews.com,2016-06-21,3,1
www.foxnews.com,2016-06-22,2,1
www.foxnews.com,2016-06-23,1,1
www.foxnews.com,2016-06-24,3,1
www.foxnews.com,2016-06-25,3,1
www.foxnews.com,2016-06-26,3,1
www.foxnews.com,2016-06-27,3,1
www.foxnews.com,2016-06-28,3,1
www.foxnews.com,2016-06-29,3,1
www.foxnews.com,2016-06-30,3,1
www.latimes.com,2016-06-01,5,1
www.latimes.com,2016-06-02,5,1
www.latimes.com,2016-06-03,5,1
www.latimes.com,2016-06-04,5,1
www.latimes.com,2016-06-05,3,0
www.latimes.com,2016-06-06,5,1
www.latimes.com,2016-06-07,5,1
www.latimes.com,2016-06-08,3,0
www.latimes.com,2016-06-09,3,0
www.latimes.com,2016-06-10,5,1
www.latimes.com,2016-06-11,5,1
www.latimes.com,2016-06-12,5,1
www.latimes.com,2016-06-13,2,1
www.latimes.com,2016-06-14,2,1
